92.831,48.43,3.1991,19.251
58.009,84.486,61.471,12.308
1.6983,20.941,36.241,20.549
12.086,55.229,4.9533,14.651
86.271,62.988,48.957,18.907
17.994,0.1308,-0.38009,3.8057,0.12149,-1.2298,-0.38208,3.8257,0.12213,-1.2362,-0.37822,3.7871,0.12089,-1.2237,-0.38225,3.8274,0.12218,-1.2368,-0.3796,3.8008,0.12133,-1.2282,-0.38198,3.8247,0.12209,-1.2359,-0.38078,3.8119,0.12168,-1.2319,-0.37966,3.8013,0.12135,-1.2284,-0.12215,-4.696,-0.2235,0.49096,0.22378,-16.826,-0.7185,2.9077,0.2235,-16.804,-0.71756,2.9039,0.2235,-16.804,-0.71755,2.9039,0.22389,-16.834,-0.71881,2.909,0.22415,-16.854,-0.71966,2.9125,0.22481,-16.903,-0.72175,2.9209,0.223,-16.767,-0.71597,2.8975,0.22355,-16.808,-0.71771,2.9046,0.2226,-16.737,-0.71466,2.8922,0.22334,-16.793,-0.71706,2.9019,0.22183,-16.679,-0.7122,2.8822,0.22051,-16.579,-0.70796,2.8651,0.60133,-7.4079,-0.64731,1.7731,0.62451,-7.6946,-0.67231,1.8416,0.6044,-7.4467,-0.65065,1.7823,0.60958,-7.5105,-0.65623,1.7976,0.60737,-7.4835,-0.65386,1.7911,0.60918,-7.5057,-0.6558,1.7964,0.60708,-7.4797,-0.65354,1.7902,0.61285,-7.5508,-0.65975,1.8072,0.60394,-7.441,-0.65015,1.7809,0.61247,-7.5461,-0.65934,1.8061,0.60441,-7.4468,-0.65067,1.7823,0.60253,-7.4236,-0.64864,1.7768,0.60668,-7.4747,-0.65311,1.789,-0.48392,10.732,0.49105,-1.5531,-0.48577,10.773,0.49292,-1.5591,-0.4836,10.725,0.49072,-1.5521,-0.48472,10.75,0.49186,-1.5557,-0.48114,10.67,0.48822,-1.5442,-0.48106,10.668,0.48814,-1.5439,-0.48133,10.674,0.48841,-1.5448,-0.48273,10.705,0.48984,-1.5493,-0.47935,10.63,0.4864,-1.5385,-0.48153,10.679,0.48862,-1.5455,-0.48268,10.704,0.48979,-1.5492,-0.48249,10.7,0.48961,-1.5486,-0.48371,10.727,0.49084,-1.5525,0.031289,9.1481,0.73418,-1.8245,0.031476,9.1889,0.73749,-1.8327,0.031176,9.0982,0.73022,-1.8146,0.031521,9.2011,0.73847,-1.8351,0.031451,9.1783,0.73665,-1.8306,0.031465,9.1808,0.73685,-1.8311,0.031588,9.2168,0.73974,-1.8383,0.031353,9.1479,0.73421,-1.8246,0.031429,9.1709,0.73606,-1.8291,0.031189,9.1036,0.73065,-1.8157,0.031237,9.1195,0.73193,-1.8189,0.031287,9.1335,0.73305,-1.8217,0.0043829,8.7179,0.68777,-1.7693,-0.38155,3.8205,0.12197,-1.2345,-0.38074,3.8122,0.1217,-1.2319,-0.3833,3.8379,0.12252,-1.2402,-0.37921,3.7969,0.12121,-1.2269
41.703,14.204,93.12,93.441
20.598,16.646,72.866,98.44
94.793,62.096,73.784,85.894
8.2071,57.371,6.3405,78.556
